url,sku,name,price,description
https://jpeterman.com/collections/all/products/essential-leggings-classic,J7050,Mid-Rise Leggings,"$48.00
Unavailable","<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Wrapping.</span></p>
<p data-mce-fragment=""1"">A woman’s legs should be carefully and exquisitely wrapped, as they are about the most precious thing on this planet. The fabric should be soft, but with some stretch. The colors have to blend and bend. The fit, of course, must be exact but not binding.</p>
<p data-mce-fragment=""1"">Essential Leggings (<span data-mce-fragment=""1"">No</span>. J7050). Fitted leggings in a deliciously comfortable viscose blend. Non-frumpy, waist-trimming, wide elastic waistband. Ankle length. Imported.</p>"
https://jpeterman.com/collections/all/products/boatneck-ballet-tee-spring-2022,J6524,Boatneck Ballet Tee,"$44.00
Unavailable","<div class=""metafield-rich_text_field""><p>Very Audrey.</p><p>&nbsp;</p><p>I met my wife, Audrey, at Scotty’s outside Tappan. She always seemed to bring her dates there the nights I worked. Along with the Vermeer face and dancer’s legs, Audrey has a knack for wearing exactly the right things, from big floppy hats to ballet flats, and turning them into classics.</p></div>"
https://jpeterman.com/collections/all/products/marie-antoinette-nightshirt-sale,J1019,Marie Antoinette Nightshirt,"$98.00
Unavailable","<div class=""metafield-rich_text_field""><p>What Marie Antoinette Wore to Bed.</p><p>Marie-Antoinette had everything. Her father was Emperor. Her&nbsp;husband was King. She was Queen.<br>
</p><p>But Versailles suffocated her. She hated the acres of ormolu, miles of&nbsp;mirrors, armies of flatterers. She yearned for something else; she&nbsp;yearned for innocence.<br>
</p><p>This simple nightshirt epitomizes Marie-Antoinette’s dream of&nbsp;innocence.</p></div>"
https://jpeterman.com/collections/all/products/bay-rum,J4905,Bay Rum,"$36.00
Unavailable","<div class=""metafield-rich_text_field""><p>You have no idea how complicated this was.<br>
</p><p>Actually, some of you might. I’ll get to that in a moment.<br>
</p><p>Originally, we sold Bay Rum produced in the Dominica by A.C. Shillingford. They’d been doing it since 1907 and did it very well. But all good things must come to an end and this was no exception. When they closed shop we searched high and low for a new source. Some of you may remember ordering the item only to have it never materialize. We made&nbsp;sure to make amends for that via refunds and discounts.</p><p>In the spirit of perseverance (and wanting good things to continue) we decided to have the highly sought after formula reproduced by our magicians so that you too could experience the scent described as less strong than anything called perfume or aftershave but not so quiet as to be boring.&nbsp;In fact, it is quite sexy. Men have liked Bay Rum since Spanish Main days. They like it for the least complicated reason in the world. It smells good. Made in USA.</p></div>"
https://jpeterman.com/collections/all/products/s-s-vintage-tee-1,J6607,Short-Sleeve Vintage T-Shirt,"$44.00
Unavailable","<div class=""metafield-rich_text_field""><p>The New Vintage T-Shirts.</p><p>What is this? It looks old.</p><p>Well, it’s a vintage T-shirt. It’s new but looks old.</p><p>It’s new but looks old?</p><p>Well, it seems new, but looks old.</p><p>Seems? You mean it really is old?</p><p>Well, you know when you’re out buying a couple of steaks and maybe some antifreeze and you decide on a pack of T-shirts at the same time? You mean it’s like that?</p><p>Well, it’s like that… but different.</p><p>Different?</p><p>A lot different.</p><p>(Adding to the mystery, the original historic labels were accidentally removed and replaced by our own. Sorry.)</p></div>"
https://jpeterman.com/collections/all/products/wrap-knit-top,J6811,Wrap Knit Top,"$29.00
Unavailable","<div class=""metafield-rich_text_field""><p>Conversation Starters.</p><p>Leytonstone Station in front of the Suspicion mosaic, one of 17 installed in 1999 to commemorate the films of Alfred Hitchcock.&nbsp;The scene depicts Grant’s Johnny Aysgarth in a suit made up of cobalt, black, and grey tiles. He carries a tray, and on it a glass, which we know holds poisoned milk.</p><p>Next thing, there’s a woman at my elbow. “She didn’t drink it, you know.” A gentle Emerald Island brogue.</p><p>“He didn’t, either,” I add.</p><p>A whole conversation in nine words, which sometimes is exactly enough.</p><p>She’s wearing jeans and high leather boots with a chic wrap top.</p><p>I think I got all the details right.</p></div>"
https://jpeterman.com/collections/all/products/1903-vintage-cologne,J1400,1903 Vintage Cologne,"$69.00
Unavailable","<div class=""metafield-rich_text_field""><p>1903.</p><p>I was browsing in a Paris antique shop one winter afternoon when a fitted leather train case caught my eye.</p><p>It contained silver-handled brushes, boot hooks, a straight razor, several silver-stoppered glass bottles.</p><p>Inside a bottle, there was still the faint aroma of a gentleman's cologne. Custom-made for a rich traveler a century ago.</p><p>Curiosity was eating at me. I bought the case and sent the bottle to a laboratory for analysis. They broke down the residue by gas chromatography. Identified its fingerprint through spectrophotometry.</p><p>The report said: an ""old woody fougère."" Clean citrus notes, bergamot, ""green notes."" The middle notes: clary sage, cardamom. The dry-down: leather notes, smoky labdanum… elemi, tabac, frankincense.</p><p>The detective work was impressive. So is the thing itself. Women like the way it smells on a man. Like a symphony that begins loudly, then soon slides into subtle, entangling developments that grow on them.</p><p>Or so I've been told.</p></div>"
https://jpeterman.com/collections/all/products/1903-spray-cologne,J1401,1903 Spray Cologne,"$49.00
Unavailable","<div class=""metafield-rich_text_field""><p>1903.</p><p>I was browsing in a Paris antique shop one winter afternoon when a fitted leather train case caught my eye.</p><p>It contained silver-handled brushes, boot hooks, a straight razor, several silver-stoppered glass bottles.</p><p>Inside a bottle, there was still the faint aroma of a gentleman's cologne. Custom-made for a rich traveler a century ago.</p><p>Curiosity was eating at me. I bought the case and sent the bottle to a laboratory for analysis. They broke down the residue by gas chromatography. Identified its fingerprint through spectrophotometry.</p><p>The report said: an ""old woody fougère."" Clean citrus notes, bergamot, ""green notes."" The middle notes: clary sage, cardamom. The dry-down: leather notes, smoky labdanum… elemi, tabac, frankincense.</p><p>The detective work was impressive. So is the thing itself. Women like the way it smells on a man. Like a symphony that begins loudly, then soon slides into subtle, entangling developments that grow on them.</p><p>Or so I've been told.</p></div>"
https://jpeterman.com/collections/all/products/russian-navy-shirt,6600,North Sea Navy Shirt,"$49.00
Unavailable","<p>North Sea&nbsp;Navy Shirt.</p>
<p>&nbsp;</p>
<p>If you see a dark-eyed girl paddling a green boat and her boyfriend laughs and smokes and he is wearing a not-bad-looking striped navy shirt, then it’s France.</p>
<p>Unless it’s New York. But if the girl and her boyfriend are both blonde, and pale smoky-eyed, and he, you notice, is deeply tanned and wearing a striped navy shirt, then it’s Finland. Or the island of Sylt. Or Krk. Unless it’s Central Park.</p>
<p>North Sea Navy Shirt (N<sup>o</sup>. 6600). For men and women. A faithful copy; like the original, it’s “unimproved.” Pure cotton. Long sleeve. Looks better (and more courageous) under a jacket than a t-shirt or button down. Excellent all by itself, as you know. Imported.</p>"
https://jpeterman.com/collections/all/products/1903-concentrated-shaving-cream,J1403,1903 Concentrated Shaving Cream,"$36.00
Unavailable","<div class=""metafield-rich_text_field""><p>1903.</p><p>I was browsing in a Paris antique shop one winter afternoon when a fitted leather train case caught my eye.</p><p>It contained silver-handled brushes, boot hooks, a straight razor, several silver-stoppered glass bottles.</p><p>Inside a bottle, there was still the faint aroma of a gentleman's cologne. Custom-made for a rich traveler a century ago.</p><p>Curiosity was eating at me. I bought the case and sent the bottle to a laboratory for analysis. They broke down the residue by gas chromatography. Identified its fingerprint through spectrophotometry.</p><p>The report said: an ""old woody fougère."" Clean citrus notes, bergamot, ""green notes."" The middle notes: clary sage, cardamom. The dry-down: leather notes, smoky labdanum… elemi, tabac, frankincense.</p><p>The detective work was impressive. So is the thing itself. Women like the way it smells on a man. Like a symphony that begins loudly, then soon slides into subtle, entangling developments that grow on them.</p><p>Or so I've been told.</p></div>"
